Шифра,Назив,Подручје рада,Школа - МБ,Школа - Назив,Школа - Место,Школа - Општина,Школа - Округ,Укупно места,Трајање,Језик,Тип профила,Специјализован,Спортски,Мин. бодова 1K,Преостало места 1K
BOBOGA4R01S,Друштвено - језички смер,Гимназија,07414269,"Гимназија ""Бора Станковић""",Бор,Бор,Борски управни округ,60,4,Српски,Редовнo,НЕ,НЕ,54.43,38
BOBOGA4R04S,Природно - математички смер,Гимназија,07414269,"Гимназија ""Бора Станковић""",Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,77.51,3
BOBOSB4L01S,Економски техничар,"Економија, право и администрација",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,55.09,16
BOBOSB4L05S,Правно - пословни техничар,"Економија, право и администрација",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,57.27,9
BOBOSB3K07S,Конобар,"Трговина, угоститељство и туризам",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,,15
BOBOSB3K08S,Кувар,"Трговина, угоститељство и туризам",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,15,3,Српски,Редовнo,НЕ,НЕ,38.58,4
BOBOSB4K16S,Туристички техничар,"Трговина, угоститељство и туризам",07351771,Економско-трговинска школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,53.39,21
BOBOSD4E08S,Електротехничар рачунара,Електротехника,07264259,Машинско-електротехничка школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,57.71,9
BOBOSD4D06S,Машински техничар за компјутерско конструисање,Машинство и обрада метала,07264259,Машинско-електротехничка школа,Бор,Бор,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,52.64,8
BOBOSC3C10S,Руковалац механизацијом у површинској експлоатацији,"Геологија, рударство и металургија",07264224,Техничка школа ,Бор,Бор,Борски управни округ,30,3,Српски,Редовнo,НЕ,НЕ,40.68,13
PCPSGA4R03S,Општи тип,Гимназија,07179324,"Гимназија ""Скендербеу""",Прешево,Прешево,Пчињски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,50.01,23
PCSUGA4R03S,Општи тип,Гимназија,07573537,"Гимназија ""Светозар Марковић""",Сурдулица,Сурдулица,Пчињски управни округ,60,4,Српски,Редовнo,НЕ,НЕ,65.41,21
BOKLMA4R03S,Општи тип,Гимназија,17918087,Средња школа,Кладово,Кладово,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,64.27,14
BOKLMA4L01S,Економски техничар,"Економија, право и администрација",17918087,Средња школа,Кладово,Кладово,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,57.39,2
BOKLMA3D36S,Механичар грејне и расхладне технике,Машинство и обрада метала,17918087,Средња школа,Кладово,Кладово,Борски управни округ,30,3,Српски,Редовнo,НЕ,НЕ,38.19,11
BOMAGA4R03S,Општи тип,Гимназија,07677316,"Гимназија ""Миле Арсенијевић Бандера""",Мајданпек,Мајданпек,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,75.22,22
BOMASB4E41S,Електротехничар информационих технологија,Електротехника,07648847,Техничка школа ,Мајданпек,Мајданпек,Борски управни округ,30,4,Српски,Редовнo,НЕ,НЕ,58.6,10
