Општина,Школа,Мин. бодова,Укупно места,Преостало места
Ада,"Техничка школа, Ада",39.37,150,78
Александровац,"Средња школа ""Свети Трифун"" са домом ученика, Александровац",42.77,90,48
Алексинац,"Алексиначка гимназија, Алексинац",63.19,90,29
Алексинац,"Биотехнолошка школа ""Шуматовац"", Алексинац",40.76,60,25
Алексинац,"Техничка школа ""Прота Стеван Димитријевић"", Алексинац",50.16,30,1
Алибунар,"Економско-трговинска школа ""Доситеј Обрадовић"", Алибунар",40.37,120,67
Апатин,"Гимназија и стручна школа ""Никола Тесла"" , Апатин",51.23,90,27
Апатин,"Техничка школа са домом ученика, Апатин",36.05,90,30
Аранђеловац,"Гимназија ""Милош Савковић"", Аранђеловац",70.27,60,20
Аранђеловац,"Техничка школа ""Милета Николић"", Аранђеловац",39.38,135,67
Ариље,"Средња школа ""Свети Ахилије"", Ариље",41.16,90,59
Бабушница,"Средња школа ""Вук Караџић"" са домом ученика, Бабушница",43.8,60,23
Бајина Башта,"Техничка школа , Бајина Башта",40.1,15,1
Барајево,"Средња школа, Барајево",42.98,165,69
Баточина,"Средња школа ""Никола Тесла"", Баточина",43.64,90,40
Бач,"Пољопривредна школа, Бач",41.42,60,33
Бачка Паланка,"Гимназија ""20. октобар"", Бачка Паланка",56.11,30,10
Бачка Паланка,"Средња стручна школа ""Др Радивој Увалић"", Бачка Паланка",45.36,45,16
Бачка Паланка,"Техничка школа ""9. мај"", Бачка Паланка",51.64,30,3
Бачка Топола,"Гимназија и економска школа ""Доситеј Обрадовић"", Бачка Топола",51.39,120,60
Бачка Топола,"Пољопривредна школа са домом ученика Бачка Топола, Бачка Топола",43.73,195,82
Бачка Топола,"Средња техничка школа ""Шинковић Јожеф"", Бачка Топола",44.46,120,59
Бачки Петровац,"Гимназија ""Јан Колар"" са домом ученика, Бачки Петровац",42.45,90,25
Бела Паланка,"Средња школа ""Никета Ремезијански"" , Бела Паланка",48.7,90,48
Бела Црква,"Белоцркванска гимназија и економска школа, Бела Црква",64.41,60,23
Бела Црква,"Техничка школа ""Сава Мунћан"", Бела Црква",46.43,75,32
Бечеј,"Гимназија, Бечеј",58.46,90,35
Бечеј,"Економско-трговинска школа, Бечеј",36.41,165,58
Бечеј,"Техничка школа , Бечеј",40.83,150,59
Блаце,"Средња школа Блаце, Блаце",46.61,60,37
Богатић,"Мачванска средња школа, Богатић",36.74,75,28
Бојник,"Техничка школа ""Бошко Крстић"", Бојник",38.92,90,52
Бољевац,"Средња школа ""Никола Тесла"", Бољевац",40.57,90,51
Бор,"Гимназија ""Бора Станковић"", Бор",54.43,90,41
Бор,"Економско-трговинска школа, Бор",38.58,120,65
Бор,"Машинско-електротехничка школа, Бор",52.64,60,17
Бор,"Техничка школа , Бор",40.68,30,13
Босилеград,"Гимназија, Босилеград",56.87,30,26
Брус,"Средња школа, Брус",49.27,90,47
Бујановац,"Средња школа ""Сезаи Сурои"", Бујановац",37.51,90,34
Бујановац,"Стручна школа ""Свети Сава"", Бујановац",44.45,120,59
Ваљево,"Економска школа ""Ваљево"", Ваљево",40.67,90,18
Ваљево,"Пољопривредна школа са домом ученика ""Ваљево"", Ваљево",50.72,120,51
Варварин,"Средња школа, Варварин",41.77,90,35
Велика Плана,"Гимназија, Велика Плана",56.34,30,24
Велика Плана,"Економско-угоститељска школа ""Вук Караџић"", Велика Плана",37.78,60,19
Велика Плана,"Техничка школа ""Никола Тесла"", Велика Плана",40.62,120,34
Велико Градиште,"Средња школа ""Милоје Васић"" , Велико Градиште",41.43,105,28
Витина,"Техничка школа , Врбовац",39.7,40,35
Владимирци,"Посавотамнавска средња школа са домом ученика, Владимирци",35.76,120,49
Владичин Хан,"Гимназија Јован Скерлић, Владичин Хан",52.43,60,24
Владичин Хан,"Техничка школа , Владичин Хан",34.18,30,18
Власотинце,"Гимназија ""Стеван Јаковљевић"", Власотинце",59,90,44
Власотинце,"Техничка школа , Власотинце",42.33,150,84
Вождовац,"Техничка школа за дизајн коже, Београд (Вождовац)",47.48,120,94
Вождовац,"Школа за дизајн текстила, Београд (Вождовац)",38.89,90,27
Врање,"Гимназија ""Бора Станковић"", Врање",72.65,90,7
Врање,"Економско-трговинска школа, Врање",47.52,15,12
Врање,"Средња пољопривредно-ветеринарска школа ""Стеван Синђелић"", Врање",50.71,90,49
Врање,"Техничка школа , Врање",40.68,30,15
Врање,"Хемијско-технолошка школа, Врање",42.55,90,61
Врачар,"Техничка школа ГСП, Београд (Врачар)",48.72,15,9
Врбас,"Средња стручна школа ""4. јули"", Врбас",41.09,180,71
Врњачка Бања,"Гимназија , Врњачка Бања",57.38,30,15
Врњачка Бања,"Угоститељско-туристичка школа са домом ученика, Врњачка Бања",40.84,90,13
Вршац,"Гимназија ""Борислав Петров Браца"", Вршац",63.16,50,16
Вршац,"Пољопривредна школа ""Вршац"", Вршац",37.23,105,44
